,model_comp_miss,model_uncomp_miss,model_miss,base_model_comp_miss,base_model_uncomp_miss,base_model_miss,profiler_miss,sim_miss,opt_break_trace_off_comp_miss,opt_break_trace_off_uncomp_miss,opt_break_trace_off_miss,opt_break_trace_on_comp_miss,opt_break_trace_on_uncomp_miss,opt_break_trace_on_miss,opt_break_jam_off_comp_miss,opt_break_jam_off_uncomp_miss,opt_break_jam_off_miss,opt_break_jam_on_comp_miss,opt_break_jam_on_uncomp_miss,opt_break_jam_on_miss,opt_break_stack_off_comp_miss,opt_break_stack_off_uncomp_miss,opt_break_stack_off_miss,opt_break_stack_on_comp_miss,opt_break_stack_on_uncomp_miss,opt_break_stack_on_miss,opt_break_latency_off_comp_miss,opt_break_latency_off_uncomp_miss,opt_break_latency_off_miss,opt_break_latency_on_comp_miss,opt_break_latency_on_uncomp_miss,opt_break_latency_on_miss,suite,bench,kernel
parboil#mri-q#ComputePhiMag_GPU,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,parboil,mri-q,ComputePhiMag_GPU
parboil#mri-q#ComputeQ_GPU,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,parboil,mri-q,ComputeQ_GPU
parboil#sad#larger_sad_calc_16,0.5289,0.0269,0.5558000000000001,0.5213681783243659,0.0212913143735588,0.5426594926979247,0.5566,0.5487317448116833,0.5289,0.0286,0.5575,0.5289,0.0229,0.5518000000000001,0.5289,0.0309,0.5598000000000001,0.5616,0.0221,0.5837,0.529,0.0191,0.5481,0.5289,0.0328,0.5617000000000001,0.5289,0.0267,0.5556000000000001,0.5289,0.0225,0.5514,parboil,sad,larger_sad_calc_16
parboil#sad#larger_sad_calc_8,0.5228,0.4118,0.9346000000000001,0.5311454311454311,0.023423423423423406,0.5545688545688545,0.8624,0.6415485655029382,0.5228,0.0297,0.5525,0.5228,0.3059,0.8287,0.5228,0.4075,0.9303,0.5523,0.0264,0.5787,0.5228,0.1534,0.6762,0.5228,0.0271,0.5499,0.5228,0.4117,0.9345000000000001,0.5228,0.0247,0.5475000000000001,parboil,sad,larger_sad_calc_8
parboil#sad#mb_sad_calc,0.006,0.3249,0.3309,0.0004728174888537322,0.0033996116784121844,0.0038724291672659165,0.6159000000000001,0.2905618686868687,0.0094,0.0,0.0094,0.0065,0.0864,0.09290000000000001,0.006,0.3249,0.3309,0.0094,0.0,0.0094,0.0063,0.0935,0.0998,0.0094,0.0,0.0094,0.006,0.3221,0.3281,0.0094,0.0,0.0094,parboil,sad,mb_sad_calc
parboil#sgemm#mysgemmNT,1.0,0.0,1.0,0.27647058823529413,0.7216911764705882,0.9981617647058824,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,parboil,sgemm,mysgemmNT
parboil#stencil#block2D_hybrid_coarsen_x,1.0,0.0,1.0,0.37968905674366876,0.3886559002757246,0.7683449570193934,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,parboil,stencil,block2D_hybrid_coarsen_x
polybench_gpu#2dconv#Convolution2D_kernel,0.248,0.275,0.523,0.10146650812524773,0.13594926674593732,0.23741577487118504,0.3554999999999999,0.3968804445655495,0.2143,0.0,0.2143,0.2651,0.1516,0.4167,0.248,0.2751,0.5231,0.2619,0.0,0.2619,0.2634,0.1458,0.4092,0.2143,0.0,0.2143,0.248,0.2695,0.5175000000000001,0.2381,0.0,0.2381,polybench_gpu,2dconv,Convolution2D_kernel
polybench_gpu#3dconv#convolution3D_kernel,0.4276,0.2729,0.7004999999999999,0.25477707006369427,0.1847133757961783,0.43949044585987257,0.6327,0.7467465004374453,0.3782,0.0252,0.4034,0.5084,0.1906,0.699,0.4276,0.2747,0.7022999999999999,0.4874,0.042,0.5294,0.5008,0.1782,0.679,0.3782,0.0336,0.4118,0.4276,0.2636,0.6912,0.479,0.042,0.521,polybench_gpu,3dconv,convolution3D_kernel
polybench_gpu#atax#atax_kernel1,0.0305,0.9431,0.9736,0.030419601112623543,0.3778999230632657,0.40831952417588924,0.9485,0.6099344558205598,0.0305,0.943,0.9734999999999999,0.0306,0.9331,0.9637,0.0305,0.943,0.9734999999999999,0.0307,0.9681,0.9987999999999999,0.0307,0.961,0.9916999999999999,0.0305,0.9429,0.9733999999999999,0.0305,0.9431,0.9736,0.0308,0.9512,0.9820000000000001,polybench_gpu,atax,atax_kernel1
polybench_gpu#atax#atax_kernel2,0.5024,0.0,0.5024,0.5014634146341463,0.013170731707317085,0.5146341463414634,0.5024,0.5025,0.5024,0.0,0.5024,0.5146,0.0,0.5146,0.5024,0.0,0.5024,0.5601,0.0,0.5601,0.5629,0.0,0.5629,0.5024,0.0,0.5024,0.5024,0.0,0.5024,0.516,0.0,0.516,polybench_gpu,atax,atax_kernel2
polybench_gpu#corr#mean_kernel,0.5694,0.0,0.5694,0.5081883990575397,0.4736831907242064,0.981871589781746,0.5693999999999999,0.5694444444444444,0.5694,0.0,0.5694,0.9812,0.0,0.9812,0.5694,0.0,0.5694,0.9757,0.0,0.9757,1.0,0.0,1.0,0.5694,0.0,0.5694,0.5694,0.0,0.5694,1.0,0.0,1.0,polybench_gpu,corr,mean_kernel
polybench_gpu#corr#reduce_kernel,0.3554,0.0,0.3554,0.3324607329842932,0.11452879581151831,0.4469895287958115,0.3627,0.3797498772905759,0.4167,0.0,0.4167,1.0,0.0,1.0,0.3554,0.0,0.3554,1.0,0.0,1.0,1.0,0.0,1.0,0.4167,0.0,0.4167,0.3554,0.0,0.3554,1.0,0.0,1.0,polybench_gpu,corr,reduce_kernel
polybench_gpu#corr#std_kernel,0.2826,0.0,0.2826,0.2522184116633858,0.2609075110728346,0.5131259227362204,0.2831999999999999,0.282835952878937,0.2826,0.0,0.2826,0.4854,0.0,0.4854,0.2826,0.0,0.2826,0.4864,0.0001,0.4865,0.4952,0.0,0.4952,0.2826,0.0,0.2826,0.2826,0.0,0.2826,0.4936,0.0,0.4936,polybench_gpu,corr,std_kernel
polybench_gpu#covar#mean_kernel,0.5694,0.0,0.5694,0.5081883990575397,0.4697071862599206,0.9778955853174602,0.5696,0.5695064484126984,0.5694,0.0,0.5694,0.9796,0.0,0.9796,0.5694,0.0,0.5694,0.9774,0.0,0.9774,0.9999,0.0,0.9999,0.5694,0.0,0.5694,0.5694,0.0,0.5694,0.9998,0.0,0.9998,polybench_gpu,covar,mean_kernel
polybench_gpu#covar#reduce_kernel,0.5173,0.0,0.5173,0.49803149606299213,0.077755905511811,0.5757874015748031,0.5186,0.5274129552165354,0.5625,0.0,0.5625,1.0,0.0,1.0,0.5173,0.0,0.5173,1.0,0.0,1.0,1.0,0.0,1.0,0.5625,0.0,0.5625,0.5173,0.0,0.5173,1.0,0.0,1.0,polybench_gpu,covar,reduce_kernel
polybench_gpu#fdtd2d#fdtd_step1_kernel,0.7084,0.0,0.7084,0.6679790026246719,0.030183727034120755,0.6981627296587927,0.7044,0.7151070498209052,0.7273,0.0,0.7273,0.8104,0.0,0.8104,0.7084,0.0,0.7084,1.0,0.0,1.0,1.0,0.0,1.0,0.7273,0.0,0.7273,0.7084,0.0,0.7084,0.7727,0.0,0.7727,polybench_gpu,fdtd2d,fdtd_step1_kernel
polybench_gpu#fdtd2d#fdtd_step2_kernel,0.7981,0.0,0.7981,0.4519230769230769,0.2596153846153846,0.7115384615384615,0.7635000000000001,0.7769335995267672,0.7419,0.0,0.7419,0.7981,0.0,0.7981,0.7981,0.0,0.7981,1.0,0.0,1.0,0.9942,0.0,0.9942,0.7419,0.0,0.7419,0.7981,0.0,0.7981,0.7419,0.0,0.7419,polybench_gpu,fdtd2d,fdtd_step2_kernel
polybench_gpu#fdtd2d#fdtd_step3_kernel,0.5946,0.0975,0.6921,0.5771396396396397,0.058558558558558516,0.6356981981981982,0.6174,0.6127511789132883,0.6,0.0,0.6,0.5946,0.0185,0.6131,0.5946,0.106,0.7006,1.0,0.0,1.0,0.8721,0.0195,0.8916,0.6,0.0,0.6,0.5946,0.0975,0.6921,0.6,0.0,0.6,polybench_gpu,fdtd2d,fdtd_step3_kernel
polybench_gpu#gemm#gemm_kernel,0.0799,0.0056,0.08549999999999999,0.07992202729044834,0.43518518518518523,0.5151072124756335,0.25150000000000006,0.14688318561159844,0.0799,0.0,0.0799,0.5147,0.0,0.5147,0.0799,0.0,0.0799,0.2329,0.0,0.2329,0.321,0.0072,0.3282,0.0799,0.0,0.0799,0.0799,0.0153,0.09519999999999999,0.5166,0.0,0.5166,polybench_gpu,gemm,gemm_kernel
polybench_gpu#gesummv#gesummv_kernel,0.0296,0.9447,0.9742999999999999,0.029582399908093516,0.9398084324200127,0.9693908323281062,0.974,0.9746682750301568,0.0296,0.9447,0.9742999999999999,0.0297,0.9586,0.9883,0.0296,0.9455,0.9751,0.0297,0.9429,0.9725999999999999,0.0298,0.9613,0.9911000000000001,0.0296,0.9445,0.9741,0.0296,0.9447,0.9742999999999999,0.0298,0.9608,0.9906,polybench_gpu,gesummv,gesummv_kernel
polybench_gpu#syr2k#syr2k_kernel,0.0038,0.1413,0.1451,0.0039057876671795477,0.019706474138951324,0.023612261806130873,0.3215,0.4743331311397799,0.0044,0.0772,0.0816,0.0068,0.2245,0.2313,0.0038,0.1112,0.11499999999999999,0.0057,0.0836,0.08929999999999999,0.0061,0.2425,0.2486,0.0044,0.0007,0.0051,0.0038,0.1446,0.1484,0.0082,0.0076,0.0158,polybench_gpu,syr2k,syr2k_kernel
polybench_gpu#syrk#syrk_kernel,0.0039,0.0028,0.006699999999999999,0.004023668639053254,0.01340236686390528,0.017426035502958535,0.09950000000000003,0.12129114275147929,0.0045,0.0,0.0045,0.0074,0.012,0.0194,0.0039,0.0026,0.0065,0.0074,0.0,0.0074,0.0075,0.0047,0.012199999999999999,0.0045,0.0,0.0045,0.0039,0.0029,0.0068,0.0084,0.0,0.0084,polybench_gpu,syrk,syrk_kernel
